年份,城市,平均气温,最高气温,最低气温,二氧化碳浓度
1976,伦敦,11.7,20.0,8.0,387.9
2020,伦敦,12.1,17.5,2.3,425.5
1974,莫斯科,6.2,12.0,2.7,392.5
1979,北京,11.8,18.7,6.7,400.1
2013,上海,18.4,26.9,13.8,422.6
2016,莫斯科,5.5,12.6,-0.5,425.5
1972,北京,14.1,18.6,9.6,391.2
1990,东京,15.6,,12.6,403.5
2020,新加坡,28.1,32.7,20.2,430.0
1969,莫斯科,5.7,15.2,-2.8,388.5
2014,纽约,12.9,17.5,8.9,420.9
1969,东京,14.9,23.4,7.7,390.4
2016,伦敦,11.0,18.8,3.1,429.2
2023,迪拜,29.1,36.3,19.9,432.7
1992,新加坡,26.7,31.3,19.0,409.2
1962,新加坡,29.0,36.7,24.1,377.0
2020,东京,17.3,23.4,12.4,433.0
2022,开普敦,20.1,26.4,14.2,427.8
1980,上海,16.9,24.8,11.9,
1964,迪拜,27.9,33.1,22.6,387.9
1960,开普敦,18.0,24.8,12.1,376.9
2023,悉尼,20.1,28.4,15.7,430.9
2016,伦敦,13.3,19.7,10.1,426.1
1980,纽约,12.8,15.9,6.9,393.2
2019,上海,19.5,27.0,15.4,431.5
1994,伦敦,11.4,17.8,5.1,406.8
2009,东京,16.1,23.3,7.9,415.6
1995,上海,18.5,27.5,13.1,410.9
1960,伦敦,10.3,15.4,3.2,385.0
1979,莫斯科,5.2,11.6,-0.1,397.8
2018,开普敦,20.0,29.1,10.1,423.8
1989,开普敦,19.1,25.0,13.9,402.9
2009,开普敦,19.9,28.4,12.3,415.7
1976,北京,,19.9,3.7,396.5
1972,莫斯科,5.3,11.5,-2.8,388.7
1969,东京,16.1,25.9,10.7,389.1
2002,上海,18.9,27.9,13.2,411.8
1964,莫斯科,5.4,10.0,-2.4,381.1
1971,纽约,13.0,16.7,5.6,392.5
1981,莫斯科,6.0,15.3,2.7,399.8
2005,伦敦,11.5,15.5,4.8,416.7
1981,东京,15.4,22.7,9.7,398.6
1978,莫斯科,4.6,12.1,-1.6,396.1
1996,莫斯科,6.3,10.4,0.2,407.3
1998,新加坡,28.7,34.7,23.9,413.9
2009,纽约,15.0,18.7,9.3,417.8
1997,伦敦,10.3,19.1,4.5,404.7
2023,北京,14.8,24.1,6.4,427.7
1988,,19.5,26.8,11.8,404.6
1972,东京,17.5,25.0,12.3,389.0
2006,新加坡,29.1,32.7,24.0,419.3
1985,东京,15.4,22.2,5.6,400.3
1981,伦敦,10.7,19.5,4.3,399.9
1974,悉尼,18.7,22.2,10.4,388.5
2006,开普敦,17.2,23.0,12.3,413.0
1993,悉尼,19.4,28.2,,402.5
2020,纽约,12.8,22.0,5.9,432.2
1968,纽约,13.6,19.8,5.7,387.9
1977,上海,16.0,19.3,6.0,389.8
1977,纽约,13.0,18.6,3.4,395.6
