日期,门店,商品类别,商品名称,销售额,数量,利润
2024-10-08,盒马鲜生,食品饮料,矿泉水,776.48,16,210.38
2024-03-30,盒马鲜生,家居清洁,除螨喷雾,3316.26,38,195.46
2024-01-28,永辉超市,日用百货,收纳盒,1575.72,36,386.0
2025-04-04,大润发,粮油调味,食用油,2251.5,38,699.74
2024-12-14,永辉超市,家居清洁,玻璃水,635.76,18,214.36
2025-01-24,沃尔玛,食品饮料,矿泉水,525.0,,80.42
2025-04-15,沃尔玛,个人护理,洗发水,1026.9,35,335.48
2025-01-05,华联超市,零食小吃,饼干,1572.5,37,111.44
2024-03-22,盒马鲜生,日用百货,垃圾袋,2609.4,15,428.04
2024-06-15,家乐福,家居清洁,洁厕灵,1782.72,24,447.56
2024-06-24,盒马鲜生,家居清洁,洗洁精,5151.3,35,510.09
2024-08-12,家乐福,生鲜果蔬,鸡胸肉,3002.56,44,842.2
2024-11-19,华联超市,日用百货,纸巾,,26,168.52
2024-08-05,大润发,家居清洁,洁厕灵,4298.7,42,1355.83
2024-09-28,盒马鲜生,粮油调味,食用油,477.81,9,104.36
2025-03-14,沃尔玛,家居清洁,除螨喷雾,3149.44,38,364.69
2024-04-03,永辉超市,零食小吃,坚果,695.31,49,57.64
2025-03-08,盒马鲜生,日用百货,衣架,678.21,39,111.56
2024-01-12,家乐福,零食小吃,饼干,6403.76,44,1629.84
2024-12-14,大润发,个人护理,牙膏,497.84,8,48.51
2025-05-27,华联超市,家居清洁,洁厕灵,1952.16,49,632.09
2025-06-03,盒马鲜生,生鲜果蔬,三文鱼,1707.81,39,276.96
2024-01-01,永辉超市,零食小吃,面包,2660.19,39,148.55
2024-09-02,沃尔玛,个人护理,牙膏,207.88,4,45.78
2025-05-12,华联超市,食品饮料,咖啡,978.55,5,205.31
2025-05-01,永辉超市,日用百货,衣架,1339.2,36,278.96
2024-07-24,大润发,粮油调味,食用油,3025.88,46,1054.65
2025-04-07,盒马鲜生,生鲜果蔬,番茄,426.72,8,
2024-08-23,华联超市,零食小吃,果冻,1821.72,38,129.88
2024-03-10,盒马鲜生,食品饮料,可乐,517.89,3,36.9
2025-05-12,永辉超市,生鲜果蔬,鸡胸肉,1542.1,14,411.75
2024-09-05,大润发,零食小吃,坚果,5036.26,31,539.5
2024-12-28,华联超市,家居清洁,玻璃水,2384.48,28,737.16
2024-03-03,华联超市,家居清洁,洗洁精,3822.0,26,1109.06
2024-07-13,华联超市,日用百货,洗衣液,3236.8,35,571.5
2024-03-18,沃尔玛,粮油调味,食用油,4714.24,29,1446.28
2024-01-16,华联超市,食品饮料,咖啡,1113.84,6,339.29
2025-05-07,永辉超市,粮油调味,醋,2430.54,14,779.55
2025-02-03,永辉超市,粮油调味,大米,3156.39,17,901.27
2025-05-13,沃尔玛,粮油调味,白糖,420.3,10,48.46
2024-03-03,华联超市,零食小吃,辣条,3175.2,48,206.52
2024-06-10,家乐福,零食小吃,面包,769.4,4,56.96
2024-03-10,永辉超市,食品饮料,酸奶,7614.2,44,1303.04
2024-02-10,大润发,日用百货,收纳盒,839.6,40,207.56
2024-09-24,,零食小吃,饼干,1898.4,14,273.85
2024-11-03,沃尔玛,粮油调味,食用油,1999.5,30,550.98
2024-04-12,华联超市,食品饮料,牛奶,549.2,5,110.81
2024-09-07,永辉超市,生鲜果蔬,苹果,1453.68,24,263.78
2024-01-09,大润发,家居清洁,洁厕灵,7066.62,43,988.01
2024-09-27,盒马鲜生,食品饮料,可乐,1427.92,8,389.43
2024-08-03,永辉超市,生鲜果蔬,西兰花,3305.56,46,847.05
2024-09-14,沃尔玛,零食小吃,坚果,92.0,4,16.29
2024-12-07,沃尔玛,食品饮料,矿泉水,1525.5,50,524.68
2025-03-13,永辉超市,家居清洁,玻璃水,248.04,36,18.0
2024-02-06,盒马鲜生,日用百货,收纳盒,2846.16,24,268.76
2025-01-08,永辉超市,食品饮料,果汁,540.87,3,61.13
2024-12-28,永辉超市,家居清洁,洗洁精,5709.0,50,1783.57
2024-08-30,大润发,家居清洁,84消毒液,2148.96,11,630.14
2024-12-06,家乐福,食品饮料,可乐,4358.88,27,1347.85
2024-04-20,永辉超市,生鲜果蔬,香蕉,4376.75,25,1346.19
2024-12-24,永辉超市,日用百货,保鲜膜,3300.0,20,1027.61
2024-07-16,永辉超市,食品饮料,咖啡,1794.26,26,554.98
2025-02-13,沃尔玛,生鲜果蔬,鸡胸肉,8638.08,44,1821.47
2024-07-01,华联超市,食品饮料,果汁,7322.22,38,949.25
2024-12-19,华联超市,零食小吃,坚果,7442.45,47,1346.47
2024-07-13,大润发,食品饮料,牛奶,232.22,17,41.99
2024-07-20,大润发,个人护理,护手霜,2138.4,24,715.64
2024-05-07,沃尔玛,,饼干,8483.97,47,1714.92
2025-02-16,盒马鲜生,粮油调味,酱油,2819.25,45,248.62
2024-06-27,家乐福,家居清洁,玻璃水,4639.2,40,797.12
2024-08-03,华联超市,生鲜果蔬,西兰花,4430.16,28,1027.79
2025-03-28,沃尔玛,粮油调味,醋,2053.48,44,394.18
2024-03-27,盒马鲜生,日用百货,衣架,2004.69,19,480.89
2024-08-28,沃尔玛,食品饮料,茶饮料,2883.32,44,841.84
2024-09-07,永辉超市,食品饮料,矿泉水,3850.2,31,1080.16
2024-07-18,家乐福,粮油调味,白糖,6476.34,46,1284.34
2024-01-06,永辉超市,日用百货,衣架,8466.71,49,2672.43
2025-04-20,家乐福,日用百货,洗衣液,454.76,4,147.91
2025-04-20,华联超市,粮油调味,食用油,4668.51,43,1016.23
2025-05-31,沃尔玛,个人护理,洗面奶,4674.88,28,1002.11
2025-04-05,永辉超市,家居清洁,玻璃水,2577.2,17,778.21
2025-05-11,沃尔玛,个人护理,护手霜,2117.65,41,385.33
2024-10-05,盒马鲜生,生鲜果蔬,香蕉,1481.48,22,314.14
2025-01-27,永辉超市,日用百货,洗衣液,1566.0,45,178.82
2025-04-22,家乐福,粮油调味,酱油,462.78,27,138.77
2024-01-21,家乐福,个人护理,护手霜,5745.74,49,1109.47
2025-02-03,沃尔玛,生鲜果蔬,三文鱼,2968.65,27,802.69
2024-08-12,大润发,日用百货,保鲜膜,1619.82,18,95.1
2024-06-18,沃尔玛,家居清洁,玻璃水,5529.3,30,1903.28
,大润发,食品饮料,牛奶,782.04,6,70.94
2024-09-23,家乐福,日用百货,纸巾,1720.75,25,320.76
2024-10-11,沃尔玛,个人护理,洗面奶,9333.52,49,1647.08
2024-02-23,华联超市,粮油调味,大米,1120.56,23,79.1
2024-02-01,盒马鲜生,食品饮料,茶饮料,702.08,16,39.4
2025-04-29,永辉超市,日用百货,洗衣液,1174.33,43,392.61
2025-01-12,家乐福,家居清洁,洁厕灵,1354.65,11,459.39
2024-06-16,盒马鲜生,食品饮料,茶饮料,521.6,20,30.1
2025-01-19,沃尔玛,零食小吃,辣条,4903.34,26,536.91
2024-04-14,大润发,家居清洁,84消毒液,7003.35,45,2136.64
2024-02-12,大润发,个人护理,洗发水,2504.47,23,622.25
2024-12-15,华联超市,零食小吃,辣条,170.67,1,50.64
2025-04-15,华联超市,粮油调味,酱油,,,164.77
2025-05-10,大润发,家居清洁,洁厕灵,2698.2,30,726.65
2024-09-08,沃尔玛,生鲜果蔬,三文鱼,356.34,6,66.01
2025-01-23,家乐福,零食小吃,果冻,233.2,22,71.19
2024-12-29,永辉超市,粮油调味,食用油,1213.29,17,381.09
2024-01-11,盒马鲜生,生鲜果蔬,鸡蛋,6455.58,34,488.58
2024-09-03,盒马鲜生,粮油调味,醋,4402.8,45,1160.37
2024-04-05,家乐福,个人护理,洗发水,915.99,19,235.9
2025-01-12,沃尔玛,家居清洁,除螨喷雾,3500.83,31,536.07
2024-12-26,盒马鲜生,零食小吃,饼干,4206.6,45,597.28
2024-07-16,永辉超市,食品饮料,咖啡,594.51,21,125.3
2024-08-09,盒马鲜生,日用百货,洗衣液,4772.16,48,1275.96
2024-04-12,大润发,零食小吃,饼干,816.01,13,129.15
2024-05-09,沃尔玛,食品饮料,咖啡,249.84,18,16.58
